bidder-code,bidder-name,banner,video,native,schain,dchain,tcfeu,coppa,gpp,usp,safeframes,deals,client-adapter,server-adapter,user-ids,mobile-apps,floors,fpd,prebid-member,ortb-blocking,multiformat,aliasOf,adapterFilename
orbitsoft,Orbitsoft,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,orbitsoftBidAdapter
otm,OTM,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,,otmBidAdapter
ottadvisors,ottadvisors Video,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,aniview,aniviewBidAdapter
outbrain,Outbrain,yes,yes,yes,check with bidder,check with bidder,yes,yes,check with bidder,yes,yes,check with bidder,yes,yes,id5Id  identityLink,yes,yes,check with bidder,yes,partial,"will-bid-on-one",,outbrainBidAdapter
outbrain,Outbrain - Old,yes,no,yes,check with bidder,check with bidder,yes,yes,check with bidder,yes,yes,check with bidder,yes,yes,none,yes,check with bidder,check with bidder,yes,partial,check with bidder,zemanta,zemantaBidAdapter
ownadx,OwnAdX,yes,yes,no,no,no,no,no,None,no,check with bidder,no,yes,yes,none,yes,yes,no,no,no,"will-bid-on-one",,ownadxBidAdapter
ozone,Ozone Project,yes,yes,no,yes,check with bidder,yes,yes,tcfeu  usnat  usstate_all  usp,yes,check with bidder,yes,yes,no,criteo  id5Id  tdid  identityLink  liveIntentId  parrableId  pubCommonId  lotamePanoramaId  sharedId  fabrickId,check with bidder,yes,yes,yes,check with bidder,check with bidder,,ozoneBidAdapter
padsquad,Padsquad,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,padsquadBidAdapter
pagescience,Page Science,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,appnexus,appnexusBidAdapter
pangle,Pangle,yes,yes,yes,no,check with bidder,no,yes,check with bidder,check with bidder,check with bidder,no,yes,yes,sharedId,yes,check with bidder,check with bidder,no,check with bidder,"will-bid-on-any",,pangleBidAdapter
peak226,Peak226,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,peak226BidAdapter
performax,Performax,yes,no,no,yes,check with bidder,yes,no,check with bidder,yes,yes,no,yes,no,none,check with bidder,yes,no,no,check with bidder,"will-not-bid",,performaxBidAdapter
performist,Performist,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,no,yes,all,check with bidder,no,no,no,yes,"will-bid-on-one",limelightDigital,limelightDigitalBidAdapter
pgam,PGAM,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,yes,check with bidder,yes,no,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,check with bidder,check with bidder,check with bidder,yes,check with bidder,check with bidder,,pgamBidAdapter
pgammedia,PGAM MEDIA,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,aniview,aniviewBidAdapter
pgamssp,PGAMSSP,yes,yes,yes,yes,check with bidder,yes,yes,tcfeu  usstate_all  usp,yes,yes,check with bidder,yes,yes,none,yes,yes,check with bidder,no,check with bidder,"will-bid-on-one",,pgamsspBidAdapter
pilotx,PilotX,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,pilotxBidAdapter
pinkLion,PinkLion,yes,yes,yes,yes,check with bidder,no,yes,usstate_all,yes,yes,no,yes,yes,none,yes,yes,no,no,no,"will-bid-on-one",,pinkLionBidAdapter
pixad,Pixad,yes,yes,yes,yes,no,yes,yes,tcfeu  tcfca  usnat  usstate_all  usp,yes,yes,check with bidder,yes,yes,all,yes,yes,check with bidder,yes,partial,"will-bid-on-any",admatic,admaticBidAdapter
pixelpluses,Pixelpluses,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
pixfuture,PixFuture,yes,no,no,check with bidder,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,criteoId  unifiedId  id5Id  sharedId  identityLink  liveIntentId  fabrickId,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,pixfutureBidAdapter
playdigo,Playdigo,yes,yes,yes,yes,check with bidder,yes,yes,usstate_all,yes,yes,no,yes,yes,none,yes,yes,no,no,no,"will-not-bid",,playdigoBidAdapter
playwire,Playwire,yes,yes,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,all,check with bidder,yes,yes,yes,check with bidder,check with bidder,grid,gridBidAdapter
pollux,Pollux Network,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,polluxBidAdapter
polymorph,Polymorph,yes,yes,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,polymorphBidAdapter
preciso,Preciso,yes,no,yes,yes,check with bidder,no,yes,check with bidder,yes,yes,no,yes,no,sharedId,check with bidder,yes,check with bidder,yes,yes,"will-not-bid",,precisoBidAdapter
prisma,Prisma,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,no,id5Id,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,prismaBidAdapter
prismassp,Prismassp,yes,yes,yes,yes,no,yes,check with bidder,some (check with bidder),yes,yes,yes,yes,yes,all,check with bidder,yes,yes,no,check with bidder,"will-bid-on-any",,prismasspBidAdapter
ProgrammaticX,ProgrammaticX,yes,yes,no,yes,check with bidder,yes,no,some (check with bidder),yes,check with bidder,no,yes,no,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,no,yes,no,no,no,"will-bid-on-one",,programmaticXBidAdapter
programmatica,Programmatica,yes,yes,no,check with bidder,check with bidder,no,no,check with bidder,no,yes,no,yes,no,none,check with bidder,no,no,no,no,"will-bid-on-one",,programmaticaBidAdapter
projectagora,Project Agora,yes,yes,yes,yes,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,appnexus,appnexusBidAdapter
proxistore,Proxistore,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,proxistoreBidAdapter
pstudio,PStudio,yes,yes,no,no,no,no,yes,None,no,check with bidder,check with bidder,yes,no,none,check with bidder,no,yes,no,no,"will-not-bid",,pstudioBidAdapter
pubcircle,PubCircle,yes,yes,yes,yes,check with bidder,no,yes,check with bidder,yes,yes,yes,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,pubCircleBidAdapter
pubgenius,pubGENIUS,yes,no,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,unifiedId,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,,pubgeniusBidAdapter
publicgood,Public Good,yes,no,no,no,no,no,no,none,no,yes,no,yes,no,none,check with bidder,no,no,no,no,"will-bid-on-one",,publicgoodBidAdapter
publir,Publir,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,all,check with bidder,yes,check with bidder,no,check with bidder,"will-bid-on-any",,publirBidAdapter
pubmatic,PubMatic,yes,yes,yes,yes,yes,yes,yes,some (check with bidder),yes,yes,yes,yes,yes,all,yes,yes,yes,yes,yes,"true",,pubmaticBidAdapter
pubnative,PubNative,yes,yes,yes,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,no,yes,none,check with bidder,check with bidder,check with bidder,yes,check with bidder,check with bidder,,pubnativeBidAdapter
pubrise,Pubrise,yes,yes,yes,yes,check with bidder,no,yes,usstate_all,yes,yes,no,yes,yes,all,yes,yes,no,no,no,"will-bid-on-one",,pubriseBidAdapter
pubtech,Pubtech,yes,yes,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,no,all,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,nexx360,nexx360BidAdapter
pubx,Pub-X,yes,no,no,yes,check with bidder,no,no,check with bidder,no,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,pubxBidAdapter
pubxai,PubxAi,yes,yes,yes,yes,no,yes,check with bidder,tcfeu,yes,yes,yes,yes,yes,all,check with bidder,yes,yes,no,check with bidder,"will-bid-on-any",,pubxaiBidAdapter
pulsepoint,PulsePoint,yes,yes,yes,yes,check with bidder,yes,yes,check with bidder,yes,yes,check with bidder,yes,yes,all,yes,yes,yes,no,yes,"will-bid-on-one",,pulsepointBidAdapter
pwbid,PubWise,yes,yes,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,yes,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  pubProvidedId  sharedId  unifiedId,check with bidder,yes,check with bidder,yes,check with bidder,check with bidder,pubwise,pubwiseBidAdapter
pxyz,Playground XYZ,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,pxyzBidAdapter
qohere,Qohere,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
qortex,Qortex,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
qt,QT,yes,yes,yes,yes,check with bidder,yes,yes,usstate_all,yes,yes,no,yes,yes,all,yes,yes,no,no,no,"will-bid-on-one",,qtBidAdapter
